,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
5739159,2015,12,26,6,AA,1953,N109UW,PHL,TPA,2025,2021.0,-4.0,15.0,2036.0,160.0,146.0,128.0,920,2244.0,3.0,2305,2247.0,-18.0,0,0,,,,,,
5045833,2015,11,11,3,HA,224,N487HA,LIH,HNL,2052,2045.0,-7.0,6.0,2051.0,33.0,34.0,23.0,102,2114.0,5.0,2125,2119.0,-6.0,0,0,,,,,,
4955879,2015,11,6,5,WN,599,N383SW,DAL,ABQ,800,804.0,4.0,10.0,814.0,110.0,107.0,92.0,580,846.0,5.0,850,851.0,1.0,0,0,,,,,,
5163113,2015,11,19,4,UA,1558,N676UA,IAH,EWR,1045,1049.0,4.0,17.0,1106.0,204.0,192.0,166.0,1400,1452.0,9.0,1509,1501.0,-8.0,0,0,,,,,,
301440,2015,1,20,2,DL,2551,N948DN,MSP,DFW,1742,1916.0,94.0,36.0,1952.0,169.0,157.0,115.0,852,2147.0,6.0,2031,2153.0,82.0,0,0,,0.0,0.0,82.0,0.0,0.0
2982616,2015,7,6,1,OO,4781,N427SW,MSP,SBN,1915,1956.0,41.0,25.0,2021.0,92.0,88.0,59.0,411,2220.0,4.0,2147,2224.0,37.0,0,0,,0.0,0.0,0.0,37.0,0.0
2498878,2015,6,7,7,AS,678,N615AS,SEA,DEN,1925,1923.0,-2.0,13.0,1936.0,151.0,154.0,132.0,1024,2248.0,9.0,2256,2257.0,1.0,0,0,,,,,,
4775769,2015,10,25,7,WN,1034,N8628A,12889,11066,1730,1725.0,-5.0,18.0,1743.0,230.0,226.0,196.0,1771,2359.0,12.0,20,11.0,-9.0,0,0,,,,,,
2040378,2015,5,10,7,AS,870,N565AS,ANC,HNL,1435,1431.0,-4.0,15.0,1446.0,368.0,382.0,365.0,2777,1851.0,2.0,1843,1853.0,10.0,0,0,,,,,,
2752617,2015,6,22,1,DL,2358,N663DN,ATL,MCI,1935,1940.0,5.0,30.0,2010.0,132.0,126.0,91.0,692,2041.0,5.0,2047,2046.0,-1.0,0,0,,,,,,
762064,2015,2,20,5,WN,3220,N8606C,LAX,PHX,700,701.0,1.0,20.0,721.0,80.0,78.0,52.0,370,913.0,6.0,920,919.0,-1.0,0,0,,,,,,
1398319,2015,3,31,2,WN,789,N704SW,TPA,MEM,1635,1639.0,4.0,9.0,1648.0,125.0,120.0,106.0,655,1734.0,5.0,1740,1739.0,-1.0,0,0,,,,,,
2191640,2015,5,19,2,WN,182,N251WN,PHX,ELP,1815,1824.0,9.0,4.0,1828.0,65.0,57.0,49.0,347,2017.0,4.0,2020,2021.0,1.0,0,0,,,,,,
1448427,2015,4,3,5,VX,222,N629VA,SFO,AUS,1610,1607.0,-3.0,16.0,1623.0,200.0,197.0,176.0,1504,2119.0,5.0,2130,2124.0,-6.0,0,0,,,,,,
2919831,2015,7,2,4,UA,611,N449UA,SFO,SEA,1756,1751.0,-5.0,22.0,1813.0,120.0,120.0,91.0,679,1944.0,7.0,1956,1951.0,-5.0,0,0,,,,,,
4615830,2015,10,15,4,WN,612,N665WN,12191,10140,1330,1329.0,-1.0,10.0,1339.0,130.0,130.0,105.0,759,1424.0,15.0,1440,1439.0,-1.0,0,0,,,,,,
1173574,2015,3,17,2,AA,147,N474AA,DFW,SLC,2105,2115.0,10.0,13.0,2128.0,169.0,145.0,126.0,989,2234.0,6.0,2254,2240.0,-14.0,0,0,,,,,,
2026664,2015,5,9,6,WN,1242,N929WN,LAS,BNA,1425,1444.0,19.0,11.0,1455.0,215.0,230.0,215.0,1587,2030.0,4.0,2000,2034.0,34.0,0,0,,15.0,0.0,19.0,0.0,0.0
3718442,2015,8,19,3,MQ,3560,N932MQ,LIT,ORD,1220,1333.0,73.0,9.0,1342.0,120.0,94.0,75.0,552,1457.0,10.0,1420,1507.0,47.0,0,0,,0.0,0.0,0.0,46.0,1.0
254538,2015,1,17,6,B6,748,N644JB,LAS,JFK,1339,1335.0,-4.0,15.0,1350.0,290.0,295.0,273.0,2248,2123.0,7.0,2129,2130.0,1.0,0,0,,,,,,
3851409,2015,8,27,4,EV,5078,N606LR,IAH,MSP,1515,1532.0,17.0,16.0,1548.0,170.0,161.0,140.0,1034,1808.0,5.0,1805,1813.0,8.0,0,0,,,,,,
3809808,2015,8,25,2,EV,5018,N712EV,EYW,ATL,700,701.0,1.0,17.0,718.0,116.0,123.0,97.0,646,855.0,9.0,856,904.0,8.0,0,0,,,,,,
2591048,2015,6,13,6,DL,775,N376NW,SLC,GEG,830,825.0,-5.0,15.0,840.0,102.0,94.0,76.0,546,856.0,3.0,912,859.0,-13.0,0,0,,,,,,
2148359,2015,5,17,7,EV,6176,N13914,IAD,EWR,845,841.0,-4.0,15.0,856.0,78.0,68.0,47.0,212,943.0,6.0,1003,949.0,-14.0,0,0,,,,,,
3608810,2015,8,12,3,WN,3247,N8629A,HOU,PHX,1845,1842.0,-3.0,10.0,1852.0,165.0,152.0,132.0,1020,1904.0,10.0,1930,1914.0,-16.0,0,0,,,,,,
5410696,2015,12,5,6,DL,200,N993DL,IAD,ATL,1326,1324.0,-2.0,10.0,1334.0,117.0,98.0,80.0,534,1454.0,8.0,1523,1502.0,-21.0,0,0,,,,,,
5685201,2015,12,23,3,WN,1407,N7739A,BUR,DEN,720,726.0,6.0,7.0,733.0,140.0,117.0,102.0,850,1015.0,8.0,1040,1023.0,-17.0,0,0,,,,,,
1714875,2015,4,20,1,US,691,N169UW,ATL,CLT,1040,1043.0,3.0,33.0,1116.0,76.0,85.0,46.0,226,1202.0,6.0,1156,1208.0,12.0,0,0,,,,,,
5313158,2015,11,29,7,DL,920,N195DN,LAX,JFK,1250,1301.0,11.0,17.0,1318.0,324.0,313.0,276.0,2475,2054.0,20.0,2114,2114.0,0.0,0,0,,,,,,
4928020,2015,11,4,3,WN,286,N8616C,OMA,LAS,1315,1311.0,-4.0,7.0,1318.0,180.0,173.0,158.0,1099,1356.0,8.0,1415,1404.0,-11.0,0,0,,,,,,
4878385,2015,11,1,7,UA,231,N489UA,IAD,SAN,1230,1226.0,-4.0,14.0,1240.0,340.0,315.0,298.0,2253,1438.0,3.0,1510,1441.0,-29.0,0,0,,,,,,
2806845,2015,6,25,4,DL,1375,N301NB,ATL,CHA,2306,2304.0,-2.0,19.0,2323.0,43.0,48.0,25.0,106,2348.0,4.0,2349,2352.0,3.0,0,0,,,,,,
3116316,2015,7,14,2,EV,4886,N760EV,JAX,LGA,1715,1927.0,132.0,26.0,1953.0,143.0,151.0,115.0,833,2148.0,10.0,1938,2158.0,140.0,0,0,,8.0,0.0,0.0,132.0,0.0
4327921,2015,9,27,7,OO,4555,N426SW,RDM,SLC,1230,1223.0,-7.0,18.0,1241.0,98.0,101.0,75.0,525,1456.0,8.0,1508,1504.0,-4.0,0,0,,,,,,
2889564,2015,7,1,3,B6,501,N653JB,ANC,LGB,110,120.0,10.0,9.0,129.0,313.0,301.0,289.0,2360,718.0,3.0,723,721.0,-2.0,0,0,,,,,,
3269116,2015,7,23,4,WN,798,N7706A,ELP,PHX,1700,1700.0,0.0,15.0,1715.0,70.0,73.0,51.0,347,1706.0,7.0,1710,1713.0,3.0,0,0,,,,,,
718515,2015,2,17,2,WN,3056,N616SW,LAX,SFO,1200,,,,,85.0,,,337,,,1325,,,0,1,C,,,,,
3121273,2015,7,15,3,AA,1853,N123UW,IAH,CLT,520,516.0,-4.0,15.0,531.0,150.0,144.0,124.0,912,835.0,5.0,850,840.0,-10.0,0,0,,,,,,
5756144,2015,12,27,7,DL,1909,N361NW,SLC,SAN,2145,2149.0,4.0,11.0,2200.0,121.0,108.0,91.0,626,2231.0,6.0,2246,2237.0,-9.0,0,0,,,,,,
725033,2015,2,17,2,DL,2477,N922DX,MKE,DTW,1835,1843.0,8.0,11.0,1854.0,70.0,64.0,44.0,237,2038.0,9.0,2045,2047.0,2.0,0,0,,,,,,
688491,2015,2,15,7,UA,425,N829UA,DCA,IAH,1400,1355.0,-5.0,10.0,1405.0,220.0,202.0,188.0,1208,1613.0,4.0,1640,1617.0,-23.0,0,0,,,,,,
1368920,2015,3,29,7,OO,5351,N970SW,ORD,CMX,2100,2053.0,-7.0,22.0,2115.0,86.0,87.0,60.0,359,2315.0,5.0,2326,2320.0,-6.0,0,0,,,,,,
4716426,2015,10,21,3,AS,337,N795AS,14771,14747,1940,1934.0,-6.0,12.0,1946.0,124.0,132.0,109.0,679,2135.0,11.0,2144,2146.0,2.0,0,0,,,,,,
4631835,2015,10,16,5,WN,1187,N524SW,11259,10423,1245,1237.0,-8.0,9.0,1246.0,50.0,55.0,35.0,189,1321.0,11.0,1335,1332.0,-3.0,0,0,,,,,,
2065602,2015,5,12,2,OO,6230,N748SK,COS,DEN,616,607.0,-9.0,26.0,633.0,44.0,59.0,25.0,73,658.0,8.0,700,706.0,6.0,0,0,,,,,,
923335,2015,3,2,1,DL,2425,N348NW,MSY,ATL,1410,1427.0,17.0,19.0,1446.0,87.0,89.0,63.0,425,1649.0,7.0,1637,1656.0,19.0,0,0,,2.0,0.0,8.0,9.0,0.0
3459526,2015,8,4,2,AA,2274,N3GCAA,MSP,DFW,500,456.0,-4.0,12.0,508.0,148.0,143.0,123.0,852,711.0,8.0,728,719.0,-9.0,0,0,,,,,,
404425,2015,1,27,2,WN,35,N528SW,DAL,HOU,1500,1458.0,-2.0,14.0,1512.0,65.0,61.0,44.0,239,1556.0,3.0,1605,1559.0,-6.0,0,0,,,,,,
4446381,2015,10,4,7,OO,5416,N905SW,13891,14771,2057,2051.0,-6.0,9.0,2100.0,82.0,92.0,61.0,363,2201.0,22.0,2219,2223.0,4.0,0,0,,,,,,
2444111,2015,6,4,4,OO,5488,N743SK,IAH,OKC,1253,1251.0,-2.0,26.0,1317.0,90.0,96.0,63.0,395,1420.0,7.0,1423,1427.0,4.0,0,0,,,,,,
3906421,2015,8,31,1,DL,1842,N309US,GRR,MSP,735,730.0,-5.0,26.0,756.0,89.0,104.0,70.0,408,806.0,8.0,804,814.0,10.0,0,0,,,,,,
2758435,2015,6,23,2,UA,1683,N68802,IAD,SFO,820,816.0,-4.0,11.0,827.0,349.0,336.0,307.0,2419,1034.0,18.0,1109,1052.0,-17.0,0,0,,,,,,
3146052,2015,7,16,4,UA,856,N818UA,SMF,IAH,1224,1213.0,-11.0,8.0,1221.0,225.0,213.0,197.0,1609,1738.0,8.0,1809,1746.0,-23.0,0,0,,,,,,
1913216,2015,5,2,6,WN,3317,N484WN,MDW,PHX,1400,1407.0,7.0,6.0,1413.0,225.0,206.0,194.0,1444,1527.0,6.0,1545,1533.0,-12.0,0,0,,,,,,
2165708,2015,5,18,1,WN,884,N399WN,BOI,OAK,915,913.0,-2.0,5.0,918.0,105.0,90.0,80.0,512,938.0,5.0,1000,943.0,-17.0,0,0,,,,,,
5802267,2015,12,30,3,AA,698,N202UW,PHX,HNL,1800,2037.0,157.0,15.0,2052.0,409.0,397.0,376.0,2917,8.0,6.0,2149,14.0,145.0,0,0,,0.0,0.0,141.0,4.0,0.0
5780320,2015,12,29,2,AA,1615,N003AA,ORD,JAC,1205,1217.0,12.0,10.0,1227.0,201.0,172.0,159.0,1162,1406.0,3.0,1426,1409.0,-17.0,0,0,,,,,,
4293035,2015,9,25,5,WN,2484,N724SW,PHL,TPA,625,623.0,-2.0,17.0,640.0,165.0,159.0,137.0,920,857.0,5.0,910,902.0,-8.0,0,0,,,,,,
3975782,2015,9,4,5,EV,4940,N853AS,ATL,ABE,1029,1024.0,-5.0,21.0,1045.0,122.0,130.0,106.0,692,1231.0,3.0,1231,1234.0,3.0,0,0,,,,,,
346575,2015,1,23,5,EV,6004,N11184,DEN,LNK,1542,1534.0,-8.0,11.0,1545.0,81.0,83.0,68.0,423,1753.0,4.0,1803,1757.0,-6.0,0,0,,,,,,
3388910,2015,7,30,4,DL,431,N705TW,JFK,SFO,1810,1821.0,11.0,75.0,1936.0,413.0,423.0,335.0,2586,2211.0,13.0,2203,2224.0,21.0,0,0,,21.0,0.0,0.0,0.0,0.0
4640030,2015,10,16,5,WN,802,N221WN,11292,10713,2130,2126.0,-4.0,16.0,2142.0,115.0,107.0,87.0,649,2309.0,4.0,2325,2313.0,-12.0,0,0,,,,,,
431101,2015,1,29,4,OO,4824,N813SK,SJC,LAX,1038,1033.0,-5.0,22.0,1055.0,82.0,91.0,54.0,308,1149.0,15.0,1200,1204.0,4.0,0,0,,,,,,
306258,2015,1,21,3,MQ,3294,N519MQ,XNA,ORD,700,700.0,0.0,38.0,738.0,115.0,141.0,76.0,522,854.0,27.0,855,921.0,26.0,0,0,,26.0,0.0,0.0,0.0,0.0
2382433,2015,5,31,7,OO,4617,N603SK,BOI,SEA,1840,1834.0,-6.0,16.0,1850.0,86.0,80.0,58.0,399,1848.0,6.0,1906,1854.0,-12.0,0,0,,,,,,
2339549,2015,5,29,5,DL,1431,N333NB,DCA,DTW,600,556.0,-4.0,11.0,607.0,91.0,79.0,60.0,405,707.0,8.0,731,715.0,-16.0,0,0,,,,,,
3276175,2015,7,24,5,VX,350,N843VA,SFO,BOS,700,658.0,-2.0,9.0,707.0,335.0,332.0,313.0,2704,1520.0,10.0,1535,1530.0,-5.0,0,0,,,,,,
4534226,2015,10,10,6,WN,3134,N796SW,10721,13342,1030,1032.0,2.0,17.0,1049.0,160.0,142.0,117.0,860,1146.0,8.0,1210,1154.0,-16.0,0,0,,,,,,
1245026,2015,3,22,7,EV,4196,N13124,DEN,ABQ,1112,1102.0,-10.0,12.0,1114.0,81.0,69.0,52.0,349,1206.0,5.0,1233,1211.0,-22.0,0,0,,,,,,
2904668,2015,7,1,3,AA,449,N669AW,PHX,BOI,2009,2019.0,10.0,18.0,2037.0,126.0,117.0,96.0,735,2313.0,3.0,2315,2316.0,1.0,0,0,,,,,,
43336,2015,1,3,6,OO,5175,N791SK,IAH,ONT,1840,2011.0,91.0,14.0,2025.0,210.0,195.0,177.0,1334,2122.0,4.0,2010,2126.0,76.0,0,0,,0.0,0.0,0.0,76.0,0.0
2904103,2015,7,1,3,DL,2468,N338NB,MSP,IAD,1934,1934.0,0.0,15.0,1949.0,141.0,133.0,112.0,908,2241.0,6.0,2255,2247.0,-8.0,0,0,,,,,,
3889097,2015,8,30,7,B6,1208,N292JB,IAD,JFK,645,644.0,-1.0,10.0,654.0,78.0,57.0,44.0,228,738.0,3.0,803,741.0,-22.0,0,0,,,,,,
3805429,2015,8,24,1,UA,3,N73406,IAH,FLL,1910,1910.0,0.0,25.0,1935.0,149.0,158.0,129.0,966,2244.0,4.0,2239,2248.0,9.0,0,0,,,,,,
2859889,2015,6,29,1,AA,123,N375AA,DFW,HNL,905,920.0,15.0,73.0,1033.0,497.0,475.0,398.0,3784,1211.0,4.0,1222,1215.0,-7.0,0,0,,,,,,
4159887,2015,9,16,3,WN,1354,N284WN,AUS,DAL,1515,1644.0,89.0,8.0,1652.0,55.0,64.0,40.0,189,1732.0,16.0,1610,1748.0,98.0,0,0,,9.0,0.0,89.0,0.0,0.0
164752,2015,1,11,7,AA,2228,N5EKAA,STT,MIA,1706,1728.0,22.0,17.0,1745.0,189.0,213.0,160.0,1107,1925.0,36.0,1915,2001.0,46.0,0,0,,24.0,0.0,22.0,0.0,0.0
4313214,2015,9,26,6,EV,4371,N12563,IAH,XNA,1044,1042.0,-2.0,29.0,1111.0,91.0,98.0,63.0,438,1214.0,6.0,1215,1220.0,5.0,0,0,,,,,,
3597859,2015,8,12,3,UA,395,N826UA,IAH,BWI,804,804.0,0.0,13.0,817.0,199.0,174.0,157.0,1235,1154.0,4.0,1223,1158.0,-25.0,0,0,,,,,,
2433649,2015,6,3,3,EV,4574,N14105,IAH,ECP,1919,1917.0,-2.0,18.0,1935.0,113.0,101.0,79.0,572,2054.0,4.0,2112,2058.0,-14.0,0,0,,,,,,
2156438,2015,5,17,7,WN,4915,N758SW,BOS,HOU,1700,1700.0,0.0,14.0,1714.0,265.0,238.0,217.0,1609,1951.0,7.0,2025,1958.0,-27.0,0,0,,,,,,
5086366,2015,11,14,6,DL,2797,N956AT,LAX,SJC,1238,1354.0,76.0,11.0,1405.0,78.0,58.0,46.0,308,1451.0,1.0,1356,1452.0,56.0,0,0,,0.0,0.0,56.0,0.0,0.0
1660160,2015,4,16,4,DL,2274,N556NW,LGA,ATL,1900,1857.0,-3.0,23.0,1920.0,160.0,156.0,121.0,762,2121.0,12.0,2140,2133.0,-7.0,0,0,,,,,,
213261,2015,1,14,3,UA,1075,N47414,IAD,LAX,1851,2243.0,232.0,12.0,2255.0,353.0,307.0,287.0,2288,42.0,8.0,2144,50.0,186.0,0,0,,0.0,0.0,132.0,54.0,0.0
2053142,2015,5,11,1,DL,2457,N992DL,BDL,ATL,1027,1024.0,-3.0,12.0,1036.0,148.0,133.0,113.0,859,1229.0,8.0,1255,1237.0,-18.0,0,0,,,,,,
5766976,2015,12,28,1,MQ,3538,N508MQ,SDF,ORD,1508,,,,,93.0,,,286,,,1541,,,0,1,B,,,,,
2725443,2015,6,21,7,DL,1710,N967DL,ATL,DFW,959,1000.0,1.0,17.0,1017.0,141.0,131.0,105.0,731,1102.0,9.0,1120,1111.0,-9.0,0,0,,,,,,
1216639,2015,3,20,5,AA,1210,N3HMAA,PHL,MIA,1330,1324.0,-6.0,52.0,1416.0,178.0,231.0,154.0,1013,1650.0,25.0,1628,1715.0,47.0,0,0,,47.0,0.0,0.0,0.0,0.0
2232911,2015,5,22,5,WN,2141,N743SW,MCO,STL,845,840.0,-5.0,17.0,857.0,145.0,145.0,123.0,882,1000.0,5.0,1010,1005.0,-5.0,0,0,,,,,,
1098665,2015,3,13,5,WN,1517,N7704B,LGA,DEN,1005,1000.0,-5.0,51.0,1051.0,275.0,284.0,226.0,1620,1237.0,7.0,1240,1244.0,4.0,0,0,,,,,,
1176756,2015,3,18,3,DL,1275,N972AT,AGS,ATL,727,726.0,-1.0,15.0,741.0,63.0,58.0,32.0,143,813.0,11.0,830,824.0,-6.0,0,0,,,,,,
5064028,2015,11,13,5,B6,1099,N638JB,LGA,MCO,600,600.0,0.0,16.0,616.0,164.0,166.0,145.0,950,841.0,5.0,844,846.0,2.0,0,0,,,,,,
4006261,2015,9,6,7,OO,6305,N771SK,DRO,DEN,1445,1435.0,-10.0,11.0,1446.0,67.0,63.0,45.0,250,1531.0,7.0,1552,1538.0,-14.0,0,0,,,,,,
1429011,2015,4,2,4,EV,2521,N877AS,TYS,DFW,1344,1343.0,-1.0,16.0,1359.0,141.0,150.0,123.0,772,1502.0,11.0,1505,1513.0,8.0,0,0,,,,,,
4009116,2015,9,6,7,DL,2103,N940DN,SYR,ATL,1806,1851.0,45.0,10.0,1901.0,142.0,122.0,105.0,794,2046.0,7.0,2028,2053.0,25.0,0,0,,0.0,0.0,0.0,25.0,0.0
302101,2015,1,20,2,WN,3925,N7751A,PHX,BUR,1825,1827.0,2.0,11.0,1838.0,85.0,88.0,74.0,369,1852.0,3.0,1850,1855.0,5.0,0,0,,,,,,
1727660,2015,4,21,2,US,1722,N821AW,IND,CLT,700,651.0,-9.0,19.0,710.0,99.0,105.0,72.0,427,822.0,14.0,839,836.0,-3.0,0,0,,,,,,
4273819,2015,9,23,3,B6,1118,N339JB,CLT,JFK,1955,1947.0,-8.0,15.0,2002.0,109.0,100.0,80.0,541,2122.0,5.0,2144,2127.0,-17.0,0,0,,,,,,
3323631,2015,7,27,1,OO,5366,N495CA,DVL,JMS,522,522.0,0.0,13.0,535.0,39.0,36.0,19.0,83,554.0,4.0,601,558.0,-3.0,0,0,,,,,,
1772106,2015,4,23,4,OO,6333,N466SW,PHX,LAX,1804,1752.0,-12.0,20.0,1812.0,91.0,91.0,56.0,370,1908.0,15.0,1935,1923.0,-12.0,0,0,,,,,,
3943536,2015,9,2,3,AA,1658,N4YSAA,DFW,ORD,1140,1136.0,-4.0,14.0,1150.0,148.0,131.0,110.0,802,1340.0,7.0,1408,1347.0,-21.0,0,0,,,,,,
828665,2015,2,24,2,WN,927,N644SW,LAX,SJC,1245,1242.0,-3.0,6.0,1248.0,70.0,67.0,50.0,308,1338.0,11.0,1355,1349.0,-6.0,0,0,,,,,,
3454037,2015,8,3,1,MQ,3499,N818MQ,DAY,LGA,1645,1635.0,-10.0,21.0,1656.0,114.0,118.0,92.0,549,1828.0,5.0,1839,1833.0,-6.0,0,0,,,,,,
1807574,2015,4,26,7,EV,4434,N31131,MCI,EWR,702,657.0,-5.0,13.0,710.0,168.0,158.0,138.0,1092,1028.0,7.0,1050,1035.0,-15.0,0,0,,,,,,
3654298,2015,8,15,6,EV,4477,N12567,MSY,IAH,1338,1338.0,0.0,13.0,1351.0,77.0,86.0,62.0,305,1453.0,11.0,1455,1504.0,9.0,0,0,,,,,,
4838706,2015,10,29,4,AA,1765,N758US,11057,13198,1614,1620.0,6.0,16.0,1636.0,147.0,153.0,127.0,808,1743.0,10.0,1741,1753.0,12.0,0,0,,,,,,
1370793,2015,3,30,1,OO,6224,N954SW,RDM,DEN,600,550.0,-10.0,10.0,600.0,140.0,140.0,123.0,898,903.0,7.0,920,910.0,-10.0,0,0,,,,,,
5104881,2015,11,15,7,B6,932,N563JB,HOU,BOS,1805,1759.0,-6.0,17.0,1816.0,214.0,220.0,197.0,1609,2233.0,6.0,2239,2239.0,0.0,0,0,,,,,,
664998,2015,2,13,5,US,799,N278AY,PHL,MCO,1805,1801.0,-4.0,27.0,1828.0,161.0,154.0,120.0,861,2028.0,7.0,2046,2035.0,-11.0,0,0,,,,,,
3630330,2015,8,14,5,EV,6188,N14105,BIL,ORD,620,617.0,-3.0,11.0,628.0,160.0,157.0,135.0,1060,943.0,11.0,1000,954.0,-6.0,0,0,,,,,,
