,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_CODE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT_CODE,DESTINATION_AIRPORT_CODE,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,AIRLINE,AIRPORT_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
2224972,2015,5,21,4,OO,5363,N959SW,ONT,SFO,1750,,,,,87.0,,,363,,,1917,,,0,1,C,,,,,,Skywest Airlines Inc.,ONT,Ontario International Airport,Ontario,CA,USA,34.056,-117.60118999999999
3053195,2015,7,10,5,HA,195,N481HA,OGG,HNL,2029,2023.0,-6.0,6.0,2029.0,34.0,34.0,22.0,100,2051.0,6.0,2103,2057.0,-6.0,0,0,,,,,,,Hawaiian Airlines Inc.,OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
370236,2015,1,25,7,AA,1377,N479AA,ABQ,DFW,1215,1206.0,-9.0,9.0,1215.0,99.0,98.0,81.0,569,1436.0,8.0,1454,1444.0,-10.0,0,0,,,,,,,American Airlines Inc.,ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60918999999998
523271,2015,2,4,3,AA,1288,N3LSAA,SAN,DFW,1421,1421.0,0.0,13.0,1434.0,174.0,175.0,151.0,1171,1905.0,11.0,1915,1916.0,1.0,0,0,,,,,,,American Airlines Inc.,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
3850572,2015,8,27,4,AA,315,N872AA,SAT,DFW,1430,1427.0,-3.0,11.0,1438.0,74.0,65.0,43.0,247,1521.0,11.0,1544,1532.0,-12.0,0,0,,,,,,,American Airlines Inc.,SAT,San Antonio International Airport,San Antonio,TX,USA,29.533690000000004,-98.46978
1819777,2015,4,26,7,EV,4312,N16147,EWR,DCA,1933,1928.0,-5.0,31.0,1959.0,87.0,84.0,40.0,199,2039.0,13.0,2100,2052.0,-8.0,0,0,,,,,,,Atlantic Southeast Airlines,EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
3495246,2015,8,6,4,WN,4493,N757LV,MSP,STL,620,615.0,-5.0,11.0,626.0,80.0,76.0,61.0,448,727.0,4.0,740,731.0,-9.0,0,0,,,,,,,Southwest Airlines Co.,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
5450377,2015,12,8,2,B6,401,N198JB,BOS,MSY,820,810.0,-10.0,21.0,831.0,230.0,213.0,189.0,1368,1040.0,3.0,1110,1043.0,-27.0,0,0,,,,,,,JetBlue Airways,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518000000001
1310234,2015,3,26,4,WN,4469,N7747C,ATL,CMH,940,939.0,-1.0,16.0,955.0,100.0,83.0,61.0,447,1056.0,6.0,1120,1102.0,-18.0,0,0,,,,,,,Southwest Airlines Co.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
400900,2015,1,27,2,MQ,3657,N661MQ,ROW,DFW,1115,1102.0,-13.0,10.0,1112.0,83.0,84.0,66.0,435,1318.0,8.0,1338,1326.0,-12.0,0,0,,,,,,,American Eagle Airlines Inc.,ROW,Roswell International Air Center,Roswell,NM,USA,33.301559999999995,-104.53056
4513213,2015,10,9,5,MQ,3336,N6EAMQ,15919,11298,500,452.0,-8.0,8.0,500.0,82.0,57.0,42.0,280,542.0,7.0,622,549.0,-33.0,0,0,,,,,,,American Eagle Airlines Inc.,,,,,,,
4964341,2015,11,6,5,OO,6359,N107SY,SFO,MSP,1630,1633.0,3.0,14.0,1647.0,221.0,234.0,214.0,1589,2221.0,6.0,2211,2227.0,16.0,0,0,,13.0,0.0,3.0,0.0,0.0,Skywest Airlines Inc.,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999
2348786,2015,5,29,5,DL,1098,N905DL,DFW,ATL,1445,1536.0,51.0,29.0,1605.0,131.0,139.0,98.0,731,1843.0,12.0,1756,1855.0,59.0,0,0,,8.0,0.0,11.0,40.0,0.0,Delta Air Lines Inc.,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
2548732,2015,6,10,3,UA,278,N416UA,ORD,ALB,1735,1754.0,19.0,34.0,1828.0,118.0,124.0,86.0,723,2054.0,4.0,2033,2058.0,25.0,0,0,,6.0,0.0,3.0,16.0,0.0,United Air Lines Inc.,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
316345,2015,1,21,3,AA,2267,N3LHAA,ORD,DCA,1720,1716.0,-4.0,12.0,1728.0,104.0,97.0,81.0,612,1949.0,4.0,2004,1953.0,-11.0,0,0,,,,,,,American Airlines Inc.,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
2298039,2015,5,26,2,B6,301,N561JB,JFK,FLL,1446,1444.0,-2.0,21.0,1505.0,197.0,177.0,144.0,1069,1729.0,12.0,1803,1741.0,-22.0,0,0,,,,,,,JetBlue Airways,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
4941505,2015,11,5,4,VX,956,N854VA,SFO,SAN,1015,1012.0,-3.0,10.0,1022.0,85.0,80.0,65.0,447,1127.0,5.0,1140,1132.0,-8.0,0,0,,,,,,,Virgin America,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999
910779,2015,3,1,7,WN,3415,N473WN,DEN,LGA,1755,,,,,210.0,,,1620,,,2325,,,0,1,B,,,,,,Southwest Airlines Co.,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
1117659,2015,3,14,6,AA,1180,N5BTAA,DFW,SJU,1300,1335.0,35.0,15.0,1350.0,264.0,268.0,245.0,2165,1855.0,8.0,1824,1903.0,39.0,0,0,,4.0,0.0,12.0,23.0,0.0,American Airlines Inc.,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
3586402,2015,8,11,2,MQ,3550,N833MQ,LGA,DAY,1330,,,,,133.0,,,549,,,1543,,,0,1,C,,,,,,American Eagle Airlines Inc.,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
1121897,2015,3,14,6,WN,3372,N8652B,RSW,STL,1745,1740.0,-5.0,16.0,1756.0,170.0,154.0,133.0,979,1909.0,5.0,1935,1914.0,-21.0,0,0,,,,,,,Southwest Airlines Co.,RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.536170000000002,-81.75516999999999
3879625,2015,8,29,6,UA,1666,N38473,LAX,EWR,1039,1030.0,-9.0,18.0,1048.0,331.0,315.0,289.0,2454,1837.0,8.0,1910,1845.0,-25.0,0,0,,,,,,,United Air Lines Inc.,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
385045,2015,1,26,1,UA,793,N418UA,TPA,ORD,1106,1106.0,0.0,10.0,1116.0,180.0,166.0,152.0,1012,1248.0,4.0,1306,1252.0,-14.0,0,0,,,,,,,United Air Lines Inc.,TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
5453962,2015,12,8,2,NK,112,N619NK,IAH,BWI,1201,1154.0,-7.0,12.0,1206.0,170.0,173.0,154.0,1235,1540.0,7.0,1551,1547.0,-4.0,0,0,,,,,,,Spirit Air Lines,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
5072461,2015,11,13,5,AA,397,N3GVAA,SJU,MIA,1410,1406.0,-4.0,12.0,1418.0,176.0,160.0,136.0,1045,1534.0,12.0,1606,1546.0,-20.0,0,0,,,,,,,American Airlines Inc.,SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.439420000000002,-66.00183
5319486,2015,11,29,7,WN,233,N649SW,TPA,STL,1905,1905.0,0.0,14.0,1919.0,145.0,139.0,121.0,869,2020.0,4.0,2030,2024.0,-6.0,0,0,,,,,,,Southwest Airlines Co.,TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
5366594,2015,12,2,3,DL,888,N582NW,MSP,ATL,1634,1634.0,0.0,13.0,1647.0,151.0,134.0,114.0,907,1941.0,7.0,2005,1948.0,-17.0,0,0,,,,,,,Delta Air Lines Inc.,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
2050917,2015,5,11,1,US,713,N558UW,PBI,CLT,820,816.0,-4.0,10.0,826.0,113.0,111.0,93.0,590,959.0,8.0,1013,1007.0,-6.0,0,0,,,,,,,US Airways Inc.,PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.683159999999997,-80.09559
153259,2015,1,10,6,DL,1055,N315NB,DTW,MSP,1945,1941.0,-4.0,14.0,1955.0,122.0,111.0,94.0,528,2029.0,3.0,2047,2032.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,DTW,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
3001272,2015,7,7,2,UA,506,N490UA,LAX,EWR,2046,2128.0,42.0,25.0,2153.0,316.0,303.0,273.0,2454,526.0,5.0,502,531.0,29.0,0,0,,0.0,0.0,6.0,23.0,0.0,United Air Lines Inc.,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
3341654,2015,7,28,2,OO,4694,N803SK,HLN,MSP,600,554.0,-6.0,16.0,610.0,144.0,149.0,127.0,913,917.0,6.0,924,923.0,-1.0,0,0,,,,,,,Skywest Airlines Inc.,HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275
5737296,2015,12,26,6,DL,1232,N927DA,DAY,ATL,1811,1822.0,11.0,27.0,1849.0,114.0,115.0,81.0,432,2010.0,7.0,2005,2017.0,12.0,0,0,,,,,,,Delta Air Lines Inc.,DAY,James M. Cox Dayton International Airport,Dayton,OH,USA,39.90238,-84.21938
3528242,2015,8,7,5,AA,2471,N3LFAA,LAX,MIA,2145,2141.0,-4.0,14.0,2155.0,315.0,308.0,289.0,2342,544.0,5.0,600,549.0,-11.0,0,0,,,,,,,American Airlines Inc.,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
3053379,2015,7,10,5,VX,490,N628VA,LAX,LAS,2045,2101.0,16.0,7.0,2108.0,65.0,51.0,39.0,236,2147.0,5.0,2150,2152.0,2.0,0,0,,,,,,,Virgin America,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
612309,2015,2,10,2,WN,1343,N440LV,BWI,ATL,1300,1259.0,-1.0,15.0,1314.0,120.0,103.0,80.0,577,1434.0,8.0,1500,1442.0,-18.0,0,0,,,,,,,Southwest Airlines Co.,BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
5114702,2015,11,16,1,DL,588,N817DN,SEA,MSP,1115,1114.0,-1.0,23.0,1137.0,192.0,201.0,175.0,1399,1632.0,3.0,1627,1635.0,8.0,0,0,,,,,,,Delta Air Lines Inc.,SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001
5044506,2015,11,11,3,DL,2112,N932DN,ATL,ORD,1915,2306.0,231.0,30.0,2336.0,126.0,144.0,109.0,606,25.0,5.0,2021,30.0,249.0,0,0,,249.0,0.0,0.0,0.0,0.0,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
2553793,2015,6,11,4,WN,4877,N723SW,MDW,DEN,600,558.0,-2.0,22.0,620.0,150.0,169.0,141.0,895,741.0,6.0,730,747.0,17.0,0,0,,17.0,0.0,0.0,0.0,0.0,Southwest Airlines Co.,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
2128659,2015,5,15,5,EV,4887,N176PQ,GSP,ATL,1831,1827.0,-4.0,15.0,1842.0,56.0,59.0,32.0,153,1914.0,12.0,1927,1926.0,-1.0,0,0,,,,,,,Atlantic Southeast Airlines,GSP,Greenville-Spartanburg International Airport,Greer,SC,USA,34.89567,-82.21885999999999
2033225,2015,5,10,7,AA,1218,N004AA,MIA,IAH,705,702.0,-3.0,32.0,734.0,174.0,187.0,138.0,964,852.0,17.0,859,909.0,10.0,0,0,,,,,,,American Airlines Inc.,MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
5292960,2015,11,28,6,EV,4262,N28529,IAH,MFE,900,901.0,1.0,49.0,950.0,78.0,109.0,56.0,316,1046.0,4.0,1018,1050.0,32.0,0,0,,31.0,0.0,1.0,0.0,0.0,Atlantic Southeast Airlines,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
246072,2015,1,16,5,AS,70,N796AS,ANC,JNU,1947,1938.0,-9.0,19.0,1957.0,110.0,108.0,85.0,571,2122.0,4.0,2137,2126.0,-11.0,0,0,,,,,,,Alaska Airlines Inc.,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998
1540914,2015,4,9,4,EV,5421,N730EV,GNV,ATL,1241,1231.0,-10.0,9.0,1240.0,74.0,61.0,47.0,300,1327.0,5.0,1355,1332.0,-23.0,0,0,,,,,,,Atlantic Southeast Airlines,GNV,Gainesville Regional Airport,Gainesville,FL,USA,29.69006,-82.27178
248297,2015,1,17,6,EV,4719,N14542,CAK,ORD,615,609.0,-6.0,19.0,628.0,95.0,84.0,57.0,343,625.0,8.0,650,633.0,-17.0,0,0,,,,,,,Atlantic Southeast Airlines,CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.916309999999996,-81.44247
2785515,2015,6,24,3,US,632,N150UW,PDX,PHX,1800,1759.0,-1.0,12.0,1811.0,156.0,152.0,131.0,1009,2022.0,9.0,2036,2031.0,-5.0,0,0,,,,,,,US Airways Inc.,PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975
4868951,2015,10,31,6,UA,321,N448UA,12266,12264,1614,1614.0,0.0,19.0,1633.0,173.0,157.0,133.0,1190,1946.0,5.0,2007,1951.0,-16.0,0,0,,,,,,,United Air Lines Inc.,,,,,,,
4886279,2015,11,1,7,DL,2347,N923AT,ATL,CHA,2044,2040.0,-4.0,17.0,2057.0,51.0,49.0,27.0,106,2124.0,5.0,2135,2129.0,-6.0,0,0,,,,,,,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
3017951,2015,7,8,3,DL,1594,N338NW,ATL,MIA,2005,2006.0,1.0,14.0,2020.0,119.0,106.0,88.0,594,2148.0,4.0,2204,2152.0,-12.0,0,0,,,,,,,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
3154141,2015,7,16,4,AA,1518,N3FWAA,DFW,EWR,2020,2023.0,3.0,10.0,2033.0,217.0,176.0,162.0,1372,15.0,4.0,57,19.0,-38.0,0,0,,,,,,,American Airlines Inc.,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
396930,2015,1,27,2,EV,4722,N13997,ORD,BUF,713,732.0,19.0,16.0,748.0,93.0,90.0,70.0,473,958.0,4.0,946,1002.0,16.0,0,0,,0.0,0.0,0.0,16.0,0.0,Atlantic Southeast Airlines,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
3941506,2015,9,2,3,DL,1258,N923DN,ATL,JAX,940,937.0,-3.0,13.0,950.0,68.0,62.0,44.0,270,1034.0,5.0,1048,1039.0,-9.0,0,0,,,,,,,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
3114184,2015,7,14,2,EV,5786,N17196,VPS,IAH,1509,1503.0,-6.0,12.0,1515.0,106.0,103.0,83.0,528,1638.0,8.0,1655,1646.0,-9.0,0,0,,,,,,,Atlantic Southeast Airlines,VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254
2500929,2015,6,7,7,DL,2415,N895AT,ATL,EWR,2200,2155.0,-5.0,17.0,2212.0,138.0,128.0,106.0,746,2358.0,5.0,18,3.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
3158662,2015,7,17,5,AA,1739,N704US,PHL,ATL,750,754.0,4.0,14.0,808.0,141.0,111.0,91.0,666,939.0,6.0,1011,945.0,-26.0,0,0,,,,,,,American Airlines Inc.,PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
4089934,2015,9,11,5,AS,427,N611AS,LAX,SEA,2240,2233.0,-7.0,23.0,2256.0,157.0,155.0,128.0,954,104.0,4.0,117,108.0,-9.0,0,0,,,,,,,Alaska Airlines Inc.,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
5633293,2015,12,19,6,UA,678,N819UA,SAT,LAX,2023,2027.0,4.0,7.0,2034.0,206.0,207.0,168.0,1211,2122.0,32.0,2149,2154.0,5.0,0,0,,,,,,,United Air Lines Inc.,SAT,San Antonio International Airport,San Antonio,TX,USA,29.533690000000004,-98.46978
3072474,2015,7,12,7,WN,2961,N907WN,DEN,PDX,810,806.0,-4.0,16.0,822.0,160.0,158.0,138.0,991,940.0,4.0,950,944.0,-6.0,0,0,,,,,,,Southwest Airlines Co.,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
3699925,2015,8,18,2,OO,4644,N625CA,LGB,SLC,1015,1012.0,-3.0,13.0,1025.0,108.0,105.0,89.0,588,1254.0,3.0,1303,1257.0,-6.0,0,0,,,,,,,Skywest Airlines Inc.,LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161
1301442,2015,3,25,3,AS,124,N607AS,FAI,SEA,1735,1719.0,-16.0,12.0,1731.0,215.0,231.0,206.0,1533,2157.0,13.0,2210,2210.0,0.0,0,0,,,,,,,Alaska Airlines Inc.,FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967
2209694,2015,5,20,3,WN,841,N605SW,CLT,BWI,1935,1945.0,10.0,18.0,2003.0,90.0,78.0,57.0,361,2100.0,3.0,2105,2103.0,-2.0,0,0,,,,,,,Southwest Airlines Co.,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.214009999999995,-80.94313000000001
2397163,2015,6,1,1,EV,4340,N22971,IAH,CMH,1629,1624.0,-5.0,16.0,1640.0,159.0,156.0,136.0,986,1956.0,4.0,2008,2000.0,-8.0,0,0,,,,,,,Atlantic Southeast Airlines,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
2949470,2015,7,4,6,AA,1912,N721UW,CLT,ABQ,1835,1833.0,-2.0,35.0,1908.0,227.0,228.0,187.0,1449,2015.0,6.0,2022,2021.0,-1.0,0,0,,,,,,,American Airlines Inc.,CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.214009999999995,-80.94313000000001
561362,2015,2,6,5,OO,7415,N446SW,RHI,IMT,2105,2048.0,-17.0,17.0,2105.0,43.0,38.0,15.0,67,2120.0,6.0,2148,2126.0,-22.0,0,0,,,,,,,Skywest Airlines Inc.,RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.631190000000004,-89.46745
2408588,2015,6,2,2,US,443,N813AW,SLC,PHX,1059,1050.0,-9.0,11.0,1101.0,91.0,89.0,74.0,507,1115.0,4.0,1130,1119.0,-11.0,0,0,,,,,,,US Airways Inc.,SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999
1644087,2015,4,15,3,DL,917,N924DL,MSP,STL,1945,1944.0,-1.0,11.0,1955.0,91.0,81.0,64.0,448,2059.0,6.0,2116,2105.0,-11.0,0,0,,,,,,,Delta Air Lines Inc.,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
3271184,2015,7,23,4,WN,1154,N7720F,LGA,MKE,1855,2121.0,146.0,44.0,2205.0,155.0,153.0,102.0,738,2247.0,7.0,2030,2254.0,144.0,0,0,,0.0,0.0,0.0,144.0,0.0,Southwest Airlines Co.,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
2549347,2015,6,10,3,WN,768,N233LV,MCO,ATL,1810,1827.0,17.0,11.0,1838.0,95.0,122.0,75.0,404,1953.0,36.0,1945,2029.0,44.0,0,0,,27.0,0.0,6.0,11.0,0.0,Southwest Airlines Co.,MCO,Orlando International Airport,Orlando,FL,USA,28.428890000000003,-81.31603
4404175,2015,10,2,5,AA,1200,N3GDAA,11298,11278,705,659.0,-6.0,15.0,714.0,181.0,182.0,163.0,1192,1057.0,4.0,1106,1101.0,-5.0,0,0,,,,,,,American Airlines Inc.,,,,,,,
2159412,2015,5,17,7,WN,3860,N425LV,SAT,PHX,1955,1950.0,-5.0,7.0,1957.0,145.0,135.0,121.0,843,1958.0,7.0,2020,2005.0,-15.0,0,0,,,,,,,Southwest Airlines Co.,SAT,San Antonio International Airport,San Antonio,TX,USA,29.533690000000004,-98.46978
1898189,2015,5,1,5,DL,1896,N951DN,ATL,RSW,1432,1425.0,-7.0,12.0,1437.0,103.0,95.0,78.0,515,1555.0,5.0,1615,1600.0,-15.0,0,0,,,,,,,Delta Air Lines Inc.,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
2010940,2015,5,8,5,DL,506,N695DL,SJU,ATL,1405,1407.0,2.0,13.0,1420.0,240.0,213.0,195.0,1547,1735.0,5.0,1805,1740.0,-25.0,0,0,,,,,,,Delta Air Lines Inc.,SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.439420000000002,-66.00183
694757,2015,2,15,7,WN,134,N553WN,MDW,IAD,2105,2251.0,106.0,39.0,2330.0,105.0,115.0,68.0,577,138.0,8.0,2350,146.0,116.0,0,0,,58.0,0.0,0.0,58.0,0.0,Southwest Airlines Co.,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
5429062,2015,12,6,7,OO,4618,N781CA,MSP,SBN,1923,1927.0,4.0,28.0,1955.0,106.0,91.0,58.0,411,2153.0,5.0,2209,2158.0,-11.0,0,0,,,,,,,Skywest Airlines Inc.,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
2900769,2015,7,1,3,OO,4556,N825SK,BNA,MSP,1615,1642.0,27.0,9.0,1651.0,132.0,133.0,115.0,695,1846.0,9.0,1827,1855.0,28.0,0,0,,1.0,0.0,27.0,0.0,0.0,Skywest Airlines Inc.,BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
749911,2015,2,19,4,OO,5601,N113SY,ORD,DCA,1105,1105.0,0.0,16.0,1121.0,111.0,113.0,86.0,612,1347.0,11.0,1356,1358.0,2.0,0,0,,,,,,,Skywest Airlines Inc.,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
1831154,2015,4,27,1,DL,1600,N654DL,MIA,ATL,1400,1404.0,4.0,15.0,1419.0,115.0,106.0,85.0,594,1544.0,6.0,1555,1550.0,-5.0,0,0,,,,,,,Delta Air Lines Inc.,MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
